Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR
2360,River Godavari,River Godavari at Basara,6.9,6.86,630,2.9,10,0.25,Less than 1.8,18,,,,21,24,104,76,13,4,1.6,138,32,14,22,31,359,244,13,,0.47,0.09,14,0.37,30.23,1.14
4255,River Godavari,Ali sagar Reservior,7.1,6.96,537,2.5,8,0.28,Less than 1.8,10,,,,16,12,96,54,16,4,1.7,127,26,15,20,22,310,208,11,,0.28,0.09,6,0.42,26.24,0.84
4227,River Godavari,"Pochara Water Falls, Adilabad",7.3,7.35,626,2.6,8,0.31,Less than 1.8,14,,,,10,16,97,58,19,4,2.2,150,34,16,27,17,354,240,15,,0.37,0.09,6,0.35,18.9,0.6
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",5.2,8.15,496,3,0.68,,Less than 1.8,24,,,,6,BDL,168,46,12,4,,182,44,17.5,24,34,308,,6,0.12,,0.09,3,0.48,28.45,0.77
13,River Godavari,River Godavari at Mancherial,5,8.12,771,3,0.74,,Less than 1.8,21,,,,6,BDL,228,84,14,4,,260,52,31.59,38,58,470,,8,0.08,,0.09,3,0.58,32.34,1.11
2364,River Godavari,River Godavari at Ramagundam upstream near dam,5.6,8.36,634,3,0.62,,Less than 1.8,21,,,,4,10,195,72,16,4,,216,42,26.97,32,52,406,,10,0.09,,0.09,2,0.68,34.09,1.09
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",3.6,11.5,1134,4,0.94,,Less than 1.8,26,,,,12,52,282,149,18,4,,325,72,35.23,82,114,730,,36,0.41,,0.09,4,0.58,42.88,1.94
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,5,8.05,763,3,0.48,,Less than 1.8,32,,,,6,BDL,198,92,12,4,,232,50,26.0,58,72,462,,10,0.62,,0.09,2,0.74,40.02,1.45
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,4.6,7.38,1098,4,1.44,,Less than 1.8,24,,,,8,BDL,240,158,14,4,,245,46,31.59,78,138,654,,14,0.66,,0.09,3,0.86,54.66,2.71
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",5.4,8.02,402,3,0.19,,Less than 1.8,22,,,,2,BDL,145,32,10,4,,140,30,15.79,14,28,250,,4,0.02,,0.09,2,0.36,29.92,0.73
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",5.2,8.22,430,3,0.3,,Less than 1.8,26,,,,4,10,150,38,12,4,,150,27.2,19.93,14,32,270,,6,0.02,,0.09,2,0.48,31.32,0.8
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,5.9,7.86,456,3,0.3,,Less than 1.8,35,,,,4.84,BDL,125,46,12,4,,142,26,18.71,29,34,286,,4,0.02,,0.09,3.7,0.32,33.5,0.88
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,4.9,7.69,504,3,0.48,,Less than 1.8,43,,,,6,BDL,130,52,12,4,,158,30,20.17,37,39,316,,6,0.08,,0.09,2,0.42,34.56,0.95
2369,River Godavari,River Godavari at Burgampahad,5,7.51,532,3,1.04,,Less than 1.8,35,,,,6,BDL,152,60,12,4,,155,42,12.15,33,54,332,,4,0.18,,0.09,2,0.56,42.69,1.33
4662,River Godavari,River godavari Kaleshwaram,5.95,8.32,458,3,0.09,,Less than 1.8,24,,,,4,20,155,38,10,4,,160,26,23.09,18,30,282,,4,0.04,,0.09,2,0.12,28.6,0.7
4256,River Godavari,"Lower Manair Dam, Karimnagar",4.8,7.77,472,3,0.38,,Less than 1.8,24,,,,6,BDL,130,50,12,4,,148,34,15.31,36,42,301,,5,0.08,,0.09,2,0.62,37.75,1.06
1158,River Godavari,River Maneru at Somanpally,Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4257,River Godavari,"Maneru river D/S of municipal dump site, Karimnagar",Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,River Godavari,River Maneru at Thummala cheruvu/Madannapet,5.2,7.95,590,3,0.82,,Less than 1.8,43,,,,8,BDL,160,78,12,4,,165,32,20.66,36,66,366,,8,0.06,,0.09,2,0.64,46.13,1.58
4664,River Godavari,River Maneru at Ghattepalli (V) near Sulthanabad,Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157,River Godavari,River Manjeera at Raipally,Sample was not collected as the tank was in dry condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4258,River Godavari,"Singoor Dam Reservoir,",7.4,7.3,470,2.8,6,0.34,Less than 1.8,12,,,,11,16,76,48,11,4,1.1,124,23,16,17,11,280,187,14,,0.26,0.09,4,0.38,15.69,0.43
1781,River Godavari,Manjeera at Ganapathi sugars,Sample was not collected as the tank was in dry condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374,River Godavari,U/s of River Manjeera at Gowdicherla before confluence with Nakkavagu,5.9,7.32,1402,2.1,9,0.24,Less than 1.8,58,,,,35,28,212,128,24,4.5,2.8,226,48,26,22,56,835,576,29,,0.31,0.09,18,0.4,32.62,1.61
2375,River Godavari,D/s of River Manjeera at Gowdicherla after confluence with Nakkavagu,6.2,7.15,1409,2.5,7,0.36,Less than 1.8,47,,,,39,24,224,142,32,5.6,3.4,258,52,31,25,59,841,582,41,,0.35,0.09,16,0.43,31.44,1.59
