Station code,water_bodies,Station name,District,Remarks,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2364,River Godavari,River Godavari at Ramagundam upstream near dam,Peddapalli,,6.1,7.68,572,1.2,0.9,,Less than 1.8,34,Less than 1.8,,,,8,5,140,54,16,1.5,0.4,,220,72,180,9.72,40,50,,340,230,10,0.31,0.94,0.5,,0.68,,
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Peddapalli,,6,7.66,1500,2,1,,9.2,70,Less than 1.8,,,,15,5,250,216,48,2.24,0.56,,370,114,285,20.66,85,120,,924,660,14,0.32,0.98,0.5,,0.64,,
4662,River Godavari,River godavari Kaleshwaram,Jayashankar Bhoopalpalli,,6.2,7.69,507,1,0.3,,Less than 1.8,24,Less than 1.8,,,,13,5,124,52,14,1.5,0.4,,200,48,120,19.44,80,40,,292,200,10,0.49,1.49,0.5,,0.23,,
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",Mulugu,,6.2,8.06,471,1,0.8,,Less than 1.8,33,Less than 1.8,,,,7,5,126,46,12,1.5,0.4,,165,38,95,17.01,70,40,,280,190,10,0.2,0.61,0.5,,0.22,,
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",Mulugu,,6.2,8.15,470,1,0.6,,Less than 1.8,39,Less than 1.8,,,,7,5,128,58,14,1.5,0.4,,150,34,85,15.79,65,18,,286,100,12,0.22,0.68,0.5,,0.14,,
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,,6.2,7.79,382,1.6,0.5,,Less than 1.8,345,Less than 1.8,,,,8,5,126,29,20,1.5,0.4,,150,32,80,17.01,70,45,,232,150,10,0.23,0.71,0.5,,0.72,,
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,,6.1,7.72,378,1.8,0.5,,Less than 1.8,27,Less than 1.8,,,,12,5,102,27,32,1.5,0.4,,120,30,75,10.94,45,43,,230,145,14,0.31,0.95,0.5,,0.89,,
2369,River Godavari,River Godavari at Burgampahad,Bhadradri Kothagudem ,,6,7.58,481,2,0.9,,Less than 1.8,39,Less than 1.8,,,,27,5,140,34,32,1.5,0.4,,195,40,100,23.09,95,65,,280,195,23,0.56,1.72,0.5,,0.36,,
4256,River Maneru / Manair,"Lower Maneru Dam, Karimnagar",Karimnagar,,6,8.15,424,1.2,1.1,,Less than 1.8,39,Less than 1.8,,,,14,5,142,39,36,1.5,0.4,,180,56,140,9.72,40,35,,250,170,10,0.3,0.92,0.5,,0.71,,
4257,River Maneru / Manair,"Maneru river D/S of municipal dump site, Karimnagar",Karimnagar,dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
4664,River Maneru / Manair,River Maneru at Ghattepalli (V) near Sulthanabad,Karimnagar,,5,8.2,714,3,0.4,,6.1,94,Less than 1.8,,,,18,5,156,92,52,4.48,1.68,,175,38,95,19.44,80,45,,420,300,16,0.86,2.65,0.5,,0.75,,
4665,River Maneru / Manair,Outlet of KTPP Ash Pond Joining Moranchavagu,Jayashankar Bhoopalpalli,,5,7.82,768,1.1,0.3,,Less than 1.8,33,Less than 1.8,,,,28,5,152,96,8,1.5,0.4,,175,34,85,21.87,90,68,,450,310,26,0.72,2.21,0.5,,0.56,,
1158,River Maneru / Manair,River Maneru at Somanpally,Peddapalli,,6,8.03,477,1,1.4,,Less than 1.8,39,Less than 1.8,,,,12,5,138,56,24,1.5,0.4,,195,42,105,21.87,90,35,,296,200,10,0.32,0.98,0.5,,0.69,,
4258,River Manjeera,"Singoor Dam Reservoir,",Sangareddy,,7.2,8.35,638,3.2,26,0.09,3.7,21,Less than 1.8,,,,2.8,20,168,54,38,5,BDL,BDL,190,40,100,22,90,22,30,370.04,259.03,7,,BDL,BDL,4.6,0.14,24.82,0.94
1157,River Manjeera,River Manjeera at Raipally,Sangareddy,,7.1,7.81,641,2.7,24,0.05,4,34,3.6,,,,3.1,12,225,98,26,6,BDL,BDL,315,68,170,35,145,50,38,458,320.6,6,,0.14,BDL,5.2,BDL,20.39,0.93
1781,River Manjeera,Manjeera at Ganapathi sugars,Sangareddy,,6.8,7.82,814,3.9,32,0.06,8.1,40,3.7,,,,3.3,10,245,105,44,6,BDL,BDL,285,74,185,24,100,62,71,496.54,347.58,7,,0.16,BDL,4.9,0.2,34.64,1.83
2374,River Manjeera,U/s of River Manjeera at Gowdicherla before confluence with Nakkavagu,Sangareddy,,6.7,7.65,1185,4,34,0.05,8.1,33,5.6,,,,3.4,14,265,145,48,4,BDL,BDL,380,84,210,41,170,68,68,722.85,506.0,7,,0.14,BDL,4.8,0.23,27.64,1.52
2375,River Manjeera,D/s of River Manjeera at Gowdicherla after confluence with Nakkavagu,Sangareddy,,6.7,7.78,1004,4.2,35,0.05,8.3,38,3.6,,,,3.2,12,200,195,44,5,BDL,BDL,335,84,210,40,125,59,64,602.4,421.68,6,,0.17,BDL,4.2,0.31,26.7,1.43
2349,River Manjeera,Nakka vagu at Bachugudem,Sangareddy,,4.2,7.28,1896,5.2,40,0.06,8.1,84,7,,,,4.2,20,410,192,68,5,BDL,BDL,525.14,108,270,62,255.14,75,116,1062,743.4,8,,0.19,BDL,6.5,0.23,31.97,2.19
4226,River Manjeera,River Manjeera at Yedu Payala Temple,Medak,,6.5,7.52,1014,2.8,36,0.05,5.5,79,2,,,,3.6,20,200,94,28,5,BDL,BDL,265,66,165,24,100,49,55,557.7,390.39,8,,0.2,BDL,5.7,0.21,30.51,1.47
2372,River Kinneresani,Kinnerasani after confluence of KTPS ash pond effluents,Bhadradri Kothagudem ,,5.9,7.81,529,2.2,1,,Less than 1.8,33,Less than 1.8,,,,25,5,132,54,24,1.5,0.4,,180,56,140,9.72,40,60,,322,220,26,0.52,1.6,0.5,,0.49,,
3080,River Kinneresani,U/s of Karakavagu at Paloncha,Bhadradri Kothagudem ,,5.6,7.65,460,1.2,1.3,,Less than 1.8,27,Less than 1.8,,,,14,5,130,36,20,1.5,0.4,,160,32,80,19.44,80,33,,266,180,10,0.35,1.06,0.5,,0.52,,
3081,River Kinneresani,D/s of Karakavagu at Paloncha,Bhadradri Kothagudem ,,5.1,7.86,458,2,0.7,,Less than 1.8,32,Less than 1.8,,,,20,5,124,32,24,1.5,0.4,,145,36,90,13.37,55,50,,272,175,16,0.4,1.23,0.5,,0.66,,
1784,River Krishna ,River Krishna at thangadi,Mahaboobnagar,,6.1,7.84,995,1.6,0.6,,11,210,Less than 1.8,,,,12,5,242,136,45,2.24,0.4,,250,80,200,12.15,50,65,,584,400,10,0.67,2.05,0.5,,0.49,,
39,River Krishna ,River Krishna at Gadwal bridge,Mahaboobnagar,,6,7.45,1118,2,1.2,,14,280,Less than 1.8,,,,14,5,258,141,50,4.48,0.56,,275,86,215,14.58,60,100,,632,460,12,0.79,2.41,0.5,,0.36,,
4225,River Krishna ,"Jogulamba Temple, Gadwal",Jogulamba Gadwal,,5.8,7.8,1527,2.2,1.6,,6.8,350,Less than 1.8,,,,18,5,280,245,75,6.16,1.68,,410,136,340,17.01,70,100,,926,630,14,0.99,3.03,0.5,,0.33,,
4259,River Krishna ,Nagarjuna Sagar Dam Spill way,Nalgonda,,7,8.31,689,3.4,26,0.05,4.5,22,3.5,,,,3.4,16,160,100,32,6,BDL,BDL,195,44,110,21,85,29,53,420.29,294.2,7,,0.24,BDL,2.2,BDL,36.43,1.64
4252,River Krishna ,"Udaya Samudram balancing Reservoir,",Nalgonda,,6.7,8.2,676,3.4,27,0.06,8.1,38,3.6,,,,3.8,16,112,126,30,5,BDL,BDL,255,54,135,29,120,47,41,429,300.3,9,,BDL,BDL,2,0.11,25.57,1.11
1465,River Krishna ,Confluence of River Krishna & River Musi at at Wadapally,Nalgonda,,7.1,8.32,1170,3.2,30,0.05,9.2,38,5.6,,,,3.1,16,220,152,24,5,BDL,BDL,275.23,64,160,28,115.23,68,95,659,461.3,8,,0.26,BDL,2,0.42,42.52,2.48
4663,River Krishna ,"River Krishna at Mattepally, 500 mts. before bathing ghat",Suryapet,,6.8,7.31,960,4.1,40,0.05,7.8,43,5.5,,,,3.2,20,172,155,49,5,BDL,BDL,280,62,155,30,125,70,87,585.6,409.92,6,,0.27,BDL,3.5,0.62,39.93,2.26
4250,River Krishna ,"Palair Reservoir, Khammam",Khammam,,6.1,7.96,470,1,0.7,,Less than 1.8,40,Less than 1.8,,,,8,5,118,56,28,1.5,0.4,,190,38,95,23.09,95,25,,276,180,10,0.55,1.68,0.5,,0.72,,
4251,River Krishna ,"D/S of Munneru River, Prakash Nagar, Khammam",Khammam,,5.7,7.58,571,1.1,1.3,,Less than 1.8,49,Less than 1.8,,,,14,5,132,61,24,1.5,0.4,,194,60,150,10.69,44,65,,322,230,12,0.42,1.28,0.5,,0.68,,
5108,River Krishna ,River Krishna Before Confluence of River Musi at Wadapally (V),Nalgonda,,7,8.41,1167,4.5,31,0.05,5.6,41,3.7,,,,3.3,20,260,157,53,5,BDL,BDL,295,60,150,35,145,85,107,711.87,498.31,7,,0.26,BDL,3.5,BDL,43.65,2.7
5109,River Krishna ,River Krishna After Confluence of River Musi at Wadapally (V),Nalgonda,,7.4,7.8,1176,4,40,0.04,6.1,40,3.6,,,,3.3,20,190,189,44,6,BDL,BDL,360.49,80,200,39,160.49,66,96,717.36,502.15,9,,0.23,BDL,3,BDL,36.29,2.19
5110,River Krishna ,River Krishna at Pulichintala Reservoir at Chinthalapalem,Suryapet,,7.2,7.24,963,3.7,35,0.06,5.5,43,3.7,,,,3.2,16,180,193,38,6,BDL,BDL,339.61,70,175,40,164.61,58,91,587.43,411.2,8,,0.28,BDL,3.5,0.22,36.37,2.14
4253,River Musi,Musi sample at Bapughat sangam U/S of Musi,Hyderabad,,0.3,7.38,1450,10,3.9,,39,430,9.2,,,,26,5,280,186,100,16.8,5.6,,290,90.4,226,15.55,64,112,,888,600,24,2.06,6.32,0.5,,0.57,,
4656,River Musi,"River Musi at Moosarambagh bridge, Hyderabad",Medchal Malkajgiri,,0.3,7.46,1508,10,2.7,,46,540,6.8,,,,32,5,335,182,128,18.48,7.84,,342,112,280,15.07,62,86,,920,620,28,2.17,6.66,0.5,,0.59,,
2339,River Musi,River Musi at Nagole,Shamshabad,,0.3,7.4,1532,14,2.4,,33,540,9.3,,,,24,5,334,145,160,16.24,7.28,,392,120.8,302,21.87,90,162,,902,630,22,2.26,6.94,0.5,,0.61,,
4659,River Musi,"Outlet of Nalla Cheruvu, Peerajadiguda",Yadadri Bhuvanagiri, lake Under Renovation.Inlet diverted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
4660,River Musi,River Musi at Peerajadiguda,Suryapet,,0.3,7.3,1445,8,3.1,,46,540,9.3,,,,34,5,328,172,84,16.8,3.92,,340,106,265,18.22,75,110,,880,590,28,2.1,6.45,0.5,,0.46,,
1173,River Musi,D/s. of Musi at Pratapasingaram,Rangareddy,,0.3,7.35,1376,8,3.7,,17,350,4.5,,,,28,5,300,181,104,8.96,2.8,,320,104,260,14.58,60,95,,842,560,25,1.86,5.71,0.5,,0.31,,
4657,River Musi,River Musi at Pillaipalli,Rangareddy-I,,0.3,7.25,1453,8,2.4,,21,430,4,,,,26,5,306,184,96,10.64,4.48,,330,98,245,20.66,85,120,,860,600,24,1.92,5.89,0.5,,0.25,,
4254,River Musi,River Musi sample at Rudravelly bridge,Yadadri Bhuvanagiri,,6,7.41,1571,4.4,49,0.03,6.8,79,5.6,,,,3.6,20,360,220,58,5,BDL,BDL,465,90,225,58,240,44,120,958.31,670.82,6,,0.48,BDL,19,0.13,34.69,2.42
4658,River Musi,"River Musi at Valigonda bridge, Nalgonda dist",Yadadri Bhuvanagiri,,5.8,7.57,1742,4.4,55,0.11,7.8,84,6,,,,5.4,16,312,283,48,6,BDL,BDL,525,110,275,61,250,75,146,1062.62,743.83,7,,0.82,BDL,12,0.42,36.82,2.76
3082,River Musi,River Musi at Solipet (Kasaniguda),Suryapet,,6.9,7.5,1330,3.2,45,0.09,8.2,63,6,,,,5.5,16,252,240,29,5,BDL,BDL,429.88,88,220,51,209.88,49,110,811.3,567.91,8,,0.41,BDL,8,0.41,35.07,2.3
5106,River Musi,River Musi at Bheemaram Bridge,Nalgonda,,6,7.62,1685,3.6,62,0.07,5.5,41,3.5,,,,3.3,20,250,270,38,5,BDL,BDL,400,88,220,44,180,95,165,1027.85,719.49,8,,0.27,BDL,3.9,0.33,46.54,3.57
5107,River Musi,River Musi Before Confluence of River Krishna at Wadapally,Nalgonda,,6.2,8.05,1175,3.4,48,0.08,6.1,38,4,,,,3.5,20,215,224,36,6,BDL,BDL,325,78,195,32,130,64,104,716.75,501.72,6,,0.29,BDL,2.5,0.21,40.54,2.5
1172,Lakes  & Tanks,U/s of Musi at Gandipet (Osmansagar lake),Shamshabad,,6.1,7.79,571,1.2,0.8,,Less than 1.8,40,Less than 1.8,,,,8,5,120,76,12,1.5,0.4,,180,38,95,20.66,85,50,,320,240,10,0.32,0.98,0.5,,0.36,,
2358,Lakes  & Tanks,Mallapur tank,Medchal Malkajgiri,,0.3,7.8,3012,18,11.9,,79,920,14,,,,38,5,320,760,408,19.6,8.4,,790,248,620,41.31,170,150,,1898,1340,34,4.2,12.89,0.5,,0.53,,
1789,Lakes  & Tanks,Himayathsagar lake,RR-shamshabad,,6.1,7.9,577,1,0.8,,Less than 1.8,32,Less than 1.8,,,,12,5,122,81,16,1.5,0.4,,184,36,90,22.84,94,50,,340,235,10,0.31,0.94,0.5,,0.48,,
3069,Lakes  & Tanks,"Shameerpet lake, Shameerpet",Medchal Malkajgiri,,5.2,7.5,822,1.2,1.1,,2,49,Less than 1.8,,,,11,5,184,152,28,2.8,0.56,,200,48,120,19.44,80,48,,470,340,10,0.42,1.29,0.5,,0.71,,
3078,Lakes  & Tanks,"Pragathinagar cheruvu, Kukatpally",Medchal Malkajgiri,,2.3,7.58,1109,4,1.2,,17,350,4.5,,,,16,5,226,162,68,11.2,3.36,,240,78,195,10.94,45,70,,680,450,14,1.07,3.28,0.5,,0.54,,
2340,Lakes  & Tanks,Lakshminarayana cheruvu,Medchal Malkajgiri,,1.2,7.84,1959,5.2,3.8,,46,540,9.3,,,,26,5,456,338,88,16.8,5.6,,500,164,410,21.87,90,85,,1240,820,16,1.28,3.93,0.5,,0.39,,
4229,Lakes  & Tanks,Neknampur Lake,RR-shamshabad,,0.3,8.01,1620,10,10.3,,49,540,9.3,,,,28,5,400,176,116,16.8,6.72,,436,140.8,352,20.41,84,85,,936,730,20,1.72,5.28,0.54,,0.41,,
1780,Lakes  & Tanks,Gandigudem Tank,Sangareddy,,5.8,7.29,2004,5.1,85,0.19,6,70,4,,,,10.3,36,395,398,52,6,BDL,BDL,795,164,410,94,385,120,142,1282,897.4,16,,0.54,BDL,19,0.32,27.2,2.18
2347,Lakes  & Tanks,Asani Kunta,Sangareddy,,NIL,6.39,11200,82,145,0.52,10,130,6.1,,,,85,60,1830,1825,1400,70,15,BDL,3485,700,1750,422,1735,304,425,6160.0,4312,58,,0.48,0.31,85,0.26,20.35,3.12
1783,Lakes  & Tanks,Kistareddypet Tank,Sangareddy,,6.3,7.18,1358,4.9,39,0.1,8.1,36,5.5,,,,9.6,16,260,276,50,5,BDL,BDL,405,94,235,41,170,84,138,869,608.3,19,,0.36,BDL,8.1,0.11,41.89,2.98
2348,Lakes  & Tanks,Khazipally Tank,Sangareddy,,6.9,7.12,812,3.7,31,0.11,3.7,20,3.5,,,,3.5,14,198,130,40,5,BDL,BDL,295,84,210,21,85,33,49,495.32,346.72,9,,0.26,BDL,6.9,BDL,25.8,1.24
1215,Lakes  & Tanks,Madannapet Lake,Warangal Rural,,5,8.74,536,1.1,0.8,,Less than 1.8,34,Less than 1.8,,,,12,5,144,56,12,1.5,0.4,,165,36,90,18.22,75,30,,312,210,10,0.32,0.99,0.5,,0.32,,
3068,Lakes  & Tanks,Ramappa lake,Mulugu,,5.9,8.1,389,1,0.5,,Less than 1.8,26,Less than 1.8,,,,8,5,102,34,22,1.5,0.4,,125,22,55,17.01,70,35,,230,160,10,0.31,0.94,0.5,,0.18,,
1447,Lakes  & Tanks,Dharmasagar tank,Warangal,,6,7.52,534,1.4,2.3,,Less than 1.8,24,Less than 1.8,,,,16,5,128,71,34,1.5,0.4,,170,40,100,17.01,70,30,,336,230,14,0.38,1.17,0.5,,0.63,,
2346,Lakes  & Tanks,Bhadrakali cheruv,Warangal Urban,emptied for cleaning purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
3084,Lakes  & Tanks,"Waddepally tank, Kazipet",Warangal Urban,,4.6,7.88,394,1,0.3,,Less than 1.8,39,Less than 1.8,,,,14,5,120,34,12,1.68,0.4,,175,48,120,13.37,55,40,,226,160,12,0.86,2.64,0.5,,0.72,,
3085,Lakes  & Tanks,Chinnawaddepally tank,Warangal Urban,,0.3,7.29,1211,8,1.2,,21,350,6.1,,,,34,5,282,176,93,11.2,3.36,,365,108,270,23.09,95,100,,760,540,28,2.2,6.75,0.5,,0.87,,
2345,Lakes  & Tanks,Sai Cheruvu,Warangal Urban,,0.3,6.85,4044,12,1.3,,40,540,9.2,,,,20,5,240,1116,310,12.88,5.6,,315,98,245,17.01,70,165,,2620,1650,18,2.32,7.12,0.5,,0.98,,
4247,Lakes  & Tanks,"Mucharla Nagaram cheruvu, Warangal",Warangal Urban,,0.3,7.28,789,6,2.8,,14,220,2.3,,,,24,5,166,123,73,9.52,2.24,,185,56,140,10.94,45,65,,490,330,20,1.86,5.71,0.5,,0.69,,
4248,Lakes  & Tanks,"Koti Cheruvu, Hanamkonda, Warangal",Warangal Urban,,3,7.76,844,3,2.8,,12,170,Less than 1.8,,,,24,5,246,108,44,7.28,1.68,,280,90,225,13.37,55,60,,520,345,22,1.06,3.25,0.5,,0.29,,
4249,Lakes  & Tanks,"Rangasamudram, Warangal",Warangal Urban,Not collected due to water hyacinth all over the lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4680,Lakes  & Tanks,Laknavaram lake,Mulugu,,5.8,7.68,151,1,0.3,,Less than 1.8,14,Less than 1.8,,,,10,5,40,20,8,0.5,0.4,,72,16,40,7.78,32,15,,84,60,10,0.21,0.64,0.5,,0.19,,
4681,Lakes  & Tanks,Pakala lake Narsampet,Warangal Rural,,5.9,8.27,469,1.2,0.3,,Less than 1.8,47,Less than 1.8,,,,8,5,168,42,24,1.5,0.4,,195,46,115,19.44,80,35,,272,180,10,0.2,0.61,0.5,,0.21,,
4682,Lakes  & Tanks,Bandham Cheruvu,Warangal,,1.2,7.46,1499,5.8,7.3,,21,350,4,,,,21,5,312,206,93,11.76,4.48,,375,118,295,19.44,80,105,,890,610,18,0.93,2.84,0.5,,0.69,,
4683,Lakes  & Tanks,"Pedda cheruvu, Madikonda",Warangal,,0.3,7.98,1049,6,2.8,,17,350,6.21,,,,25,5,220,179,93,6.72,2.8,,250,76,190,14.58,60,20,,610,440,24,0.98,3.01,0.5,,0.57,,
4243,Lakes  & Tanks,"Isnapur Tank,",Sangareddy,,5.2,7.13,3620,10,88,0.41,8.3,84,4.2,,,,6.3,32,618,689,128,20,10,BDL,1015,260,650,89,365,113,274,2208.2,1545.74,42,,0.51,BDL,7.9,0.3,36.62,3.73
4302,Lakes  & Tanks,Rudraram Tank,Sangareddy,,7.3,7.06,2165,5.2,37,0.16,7.8,34,3.7,,,,8.6,28,250,543,76,6,BDL,BDL,490,90,225,64,265,32,223,1320.65,924.45,8,,0.51,BDL,6.1,0.2,49.25,4.37
4240,Lakes  & Tanks,"Muthangi Tank,",Sangareddy,,6.4,7.38,1311,4.8,38,0.17,8.2,40,3.6,,,,9.9,22,280,220,45,5,BDL,BDL,355,74,185,41,170,81,109,799.71,559.8,9,,0.43,BDL,4.3,BDL,39.6,2.51
4241,Lakes  & Tanks,"Chitkul Tank,",Sangareddy,,6.5,8.04,1897,4.4,69,0.12,8.3,38,5.6,,,,9.9,20,300,392,52,8,5,BDL,630,124,310,78,320,104,150,1214.08,849.86,8,,0.49,BDL,3,0.1,33.79,2.59
4242,Lakes  & Tanks,"Lakadaram Cheruvu,",Sangareddy,,5.2,7.13,3620,10,88,0.41,8.3,84,4.2,,,,6.3,32,618,689,128,20,10,BDL,1015,260,650,89,365,113,274,2208.2,1545.74,42,,0.51,BDL,7.9,0.3,36.62,3.73
4238,Lakes  & Tanks,"Ameenpur Cheruvu,",Sangareddy,,6.7,7.15,1445,3,47,0.2,6.1,58,3.7,,,,6,24,308,255,32,6,BDL,BDL,600,140,350,61,250,49,73,890,624,8,,0.24,BDL,10,0.28,20.46,1.29
4239,Lakes  & Tanks,"Mahaboobsagar Tank,",Sangareddy,,6.6,7.4,1395,3.8,33,0.18,4.5,49,1.8,,,,5,12,296,160,40,8,BDL,BDL,396,96,240,38,156,50,84,820,582,9,,0.18,BDL,9.1,0.27,30.81,1.83
4244,Lakes  & Tanks,"Erdanoor Tank,",Sangareddy,,6.9,7.25,1278,4.5,46,0.2,5.5,40,2,,,,7,28,208,464,48,6,BDL,BDL,660,166,415,60,245,51,89,1390,858,10,,0.12,BDL,6.8,0.2,22.31,1.5
4245,Lakes  & Tanks,"Mallepally Tank,",Sangareddy,,6,6.98,2120,4,60,0.18,3.6,27,1.8,,,,5.3,20,172,488,50,6,BDL,BDL,464,80,200,64,264,110,196,1295,890,10,,0.16,BDL,10.1,0.24,47.04,3.94
4661,Lakes  & Tanks,Peddakanjarla Tank,Sangareddy,,6.8,6.48,710,2.6,21,0.07,2,26,Less than 1.8,,,,2,10,184,126,20,3,BDL,BDL,316,74,185,32,131,36,24,428,265,6,,0.1,BDL,6,0.1,13.8,0.58
4666,Lakes  & Tanks,Ismailkhanpet Tank,Sangareddy,,6.4,7.24,1814,4.7,36,0.1,3.7,31,1.8,,,,4,16,160,220,50,5,BDL,BDL,356,80,200,38,156,33,78,1088,730,7,,0.08,BDL,8.6,0.3,31.46,1.79
4688,Lakes  & Tanks,"Narinja River, Kothur - B (V), Zaheerabad",Sangareddy,,7,6.76,954,3.4,32,0.09,3.6,34,1.8,,,,3,12,168,180,36,4,BDL,BDL,316,70,175,34,141,37,54,582,408,8,,0.09,BDL,8.7,0.36,26.37,1.32
4234,Lakes  & Tanks,"Umda sagar lake, Shamshabad",RR-shamshabad,,0.3,8.64,1402,8,13.8,,47,540,9.2,,,,34,5,310,243,110,14.56,5.6,,350,116.8,292,14.09,58,60,,822,580,30,2.42,7.43,0.5,,0.87,,
4235,Lakes  & Tanks,Lake Kamuni ( Shamshabad Lake),RR-shamshabad,,0.3,7.33,1256,8,2.1,,17,350,2,,,,25,5,300,187,81,11.2,4.48,,325,106,265,14.58,60,95,,742,500,22,1.96,6.02,0.5,,0.37,,
5133,Lakes  & Tanks,"Chandana Cheruvu, Jillelguda,",Rangareddy,,0.3,7.99,1401,10,10.6,,24,350,9.3,,,,24,5,328,182,116,16.8,5.6,,340,99.2,248,22.36,92,95,,886,630,20,0.92,2.81,0.5,,0.59,,
5134,Lakes  & Tanks,"Manthrala Cheruvu, Meerpet",Rangareddy,,0.3,7.82,1591,8,11.78,,40,430,6.8,,,,21,5,366,160,98,14,4.48,,392,124,310,19.93,82,120,,1002,710,18,1.07,3.28,0.5,,0.63,,
