Station code,water_bodies,Station name,District,Remarks,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Cd(mg/l),Cu(mg/l),Pb(mg/l),T.Cr(mg/l),Ni (mg/l),Zn(mg/l),Fe(mg/l),Hg(mg/l),Mn(mg/l)
2360,River Godavari,River Godavari at Basara,Nirmal,,7.2,7.52,928,3.7,31,0.02,5.6,21,3.7,7,0.63,,3.3,22,200,102,38,6,0.4,BDL,275.23,64,160,28,115.23,65,62,538.2,376.74,8,,0.05,0.5,5,0.33,32.47,1.63,,,,,,,,,
5105,River Godavari,"River Godavari Pushkar Ghat, Mancherial",Mancherial,,6.9,7.54,758,3.1,26,0.02,6,20,3.6,7.1,0.71,,3.4,30,165,114,20,6,0.4,BDL,215,52,130,21,85,42,70,439.6,307.72,7,,0.05,0.5,5.1,0.3,40.68,2.07,,,,,,,,,
4255,River Godavari,Ali sagar Reservoir,Nizamabad,,7.1,7.61,705,3.1,22,0.02,4.5,22,3.5,7.2,0.73,,3.2,22,190,98,24,5,0.4,BDL,240,54,135,26,105,41,49,408.9,286.23,6,,0.05,0.5,3.6,0.2,30.26,1.37,,,,,,,,,
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,,6.2,8.25,769,3.3,21,0.13,6.1,20,5.5,6.7,0.61,,3,22,195,108,24,5,0.4,BDL,315.49,62,155,39,160.49,35,25,446,312.2,7,,0.05,0.5,2,0.41,14.65,0.61,,,,,,,,,
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Peddapalli,,6.1,8.28,542,1,0.3,,Less than 1.8,46,Less than 1.8,,,,2.1,5,125,64,4,1.5,0.4,,220,50,125,23.09,95,39,,346,240,10,0.2,0.61,0.5,,0.75,,,0.02,0.03,0.1,0.06,0.1,0.01,1.25,0.0,0.05
13,River Godavari,River Godavari at Mancherial,Peddapalli,,6.1,8.47,545,1.1,0.3,,Less than 1.8,40,Less than 1.8,,,,1.6,10,160,61,16,1.5,0.4,,160,34,85,18.22,75,34,,340,220,11,0.2,0.61,0.5,,0.2,,,0.02,0.03,0.1,0.07,0.1,0.05,1,0.0,0.44
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,,5.2,9.78,933,1.6,0.6,,Less than 1.8,39,Less than 1.8,,,,15.6,15,205,135,36,3.36,0.4,,255,78,195,14.58,60,72,,578,360,18,0.26,0.8,0.5,,0.53,,,0.02,0.03,0.1,0.06,0.1,0.04,4.8,0.0,0.27
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,,6,7.69,1080,2,1.5,,Less than 1.8,47,Less than 1.8,,,,6,5,215,152,47,2.24,0.4,,365,116,290,18.22,75,78,,680,440,12,0.2,0.61,0.5,,0.98,,,0.02,0.03,0.1,0.06,0.1,0.09,1.25,0.0,0.48
5497,River Godavari,River Godawari D/S afer confluence of Ramagundem fertilize and chemicals Ltd(RFCL)Discharge into river,Ramagundem,,6,7.43,1574,1.4,3.8,,9.3,94,Less than 1.8,,,,11,5,100,336,28,13.44,5.6,,355,118,295,14.58,60,206,,992,640,13,0.21,0.64,0.5,,0.44,,,0.02,0.03,0.1,0.08,0.1,0.02,4.75,0.0,0.08
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,,6,7.77,1070,2,1.8,,Less than 1.8,49,Less than 1.8,,,,12,5,260,130,32,2.24,0.4,,365,108,270,23.09,95,71,,674,440,10,0.2,0.61,0.5,,0.56,,,0.02,0.03,0.1,0.06,0.1,0.09,0.06,0.0,0.29
2364,River Godavari,River Godavari at Ramagundam upstream near dam,Peddapalli,,6.1,8.32,544,1.2,0.3,,Less than 1.8,33,Less than 1.8,,,,6,10,145,61,16,1.5,0.4,,235,52,130,25.52,105,36,,338,200,10,0.2,0.61,0.5,,0.92,,,0.02,0.03,0.1,0.1,0.1,0.04,2.22,0.0,0.61
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Peddapalli,,6,8.08,1266,1.2,0.6,,Less than 1.8,39,Less than 1.8,,,,8,5,220,174,28,1.68,0.4,,295,64,160,32.8,135,110,,798,540,11,0.2,0.61,0.5,,0.46,,,0.02,0.03,0.1,0.07,0.1,0.03,1.82,0.0,0.2
4662,River Godavari,River godavari Kaleshwaram,Jayashankar Bhoopalpalli,,6.1,7.97,554,1,0.6,,Less than 1.8,24,Less than 1.8,,,,6,5,180,49,12,1.5,0.4,,250,72,180,17.01,70,30,,344,220,14,0.2,0.61,0.5,,0.42,,,0.02,0.03,0.1,0.06,0.1,0.08,0.59,0.0,0.22
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",Mulugu,,6.1,7.99,389,1,2.8,,Less than 1.8,52,Less than 1.8,,,,5,5,140,27,12,1.5,0.4,,220,66,165,13.37,55,18,,246,160,10,0.2,0.61,0.5,,0.29,,,0.02,0.03,0.1,0.06,0.1,0.08,2.3,0.0,0.17
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",Mulugu,,6.1,7.93,400,1,2.1,,Less than 1.8,26,Less than 1.8,,,,6,5,130,29,12,1.5,0.4,,150,34,85,15.79,65,19,,248,160,10,0.2,0.61,0.5,,0.23,,,0.02,0.03,0.1,0.06,0.1,0.26,0.26,0.0,0.11
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,,6.1,8.55,417,1,0.3,,Less than 1.8,27,Less than 1.8,,,,6,10,130,38,20,1.5,0.4,,155,32,80,18.22,75,25,,254,170,10,0.32,0.98,0.5,,0.34,,,0.02,0.03,0.12,0.07,0.1,0.04,0.86,0.0,0.02
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,,6,8.54,416,1.2,0.3,,Less than 1.8,46,Less than 1.8,,,,8,10,140,32,36,1.5,0.4,,150,38,95,13.37,55,22,,254,170,12,1.82,5.59,0.5,,0.56,,,0.02,0.03,0.1,0.07,0.1,0.13,0.48,0.0,0.02
2369,River Godavari,River Godavari at Burgampahad,Bhadradri Kothagudem ,,6,7.33,1164,1.4,2.7,,Less than 1.8,32,Less than 1.8,,,,8,5,310,118,26,1.5,0.4,,350,78,195,37.66,155,57,,744,510,18,1.78,5.46,0.5,,0.39,,,0.02,0.03,0.1,0.07,0.1,0.11,1.38,0.0,0.06
4256,River Maneru / Manair,"Lower Maneru Dam, Karimnagar",Karimnagar,,6.2,8.28,414,1,0.5,,Less than 1.8,46,Less than 1.8,,,,5,5,120,42,8,1.5,0.4,,180,38,95,20.66,85,26,,248,160,13,0.2,0.61,0.5,,0.75,,,0.02,0.03,0.1,0.08,0.1,0.17,1.53,0.0,0.53
4257,River Maneru / Manair,"Maneru river D/S of municipal dump site, Karimnagar",Karimnagar,dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dry,,,,,,,,
4664,River Maneru / Manair,River Maneru at Ghattepalli (V) near Sulthanabad,Karimnagar,,5.8,8.32,816,1,0.3,,Less than 1.8,49,Less than 1.8,,,,8,10,205,98,12,1.5,0.4,,260,66,165,23.09,95,70,,506,320,10,0.24,0.74,0.5,,0.78,,,0.02,0.03,0.1,0.06,0.1,0.07,0.39,0.0,0.12
4665,River Maneru / Manair,Outlet of KTPP Ash Pond Joining Moranchavagu,Jayashankar Bhoopalpalli,,5.8,8.08,654,1,0.3,,Less than 1.8,32,Less than 1.8,,,,12,5,155,74,8,1.5,0.4,,210,52,130,19.44,80,46,,412,260,16,0.2,0.61,0.5,,0.66,,,0.02,0.03,0.1,0.06,0.1,0.09,10.49,0.0,0.13
1158,River Maneru / Manair,River Maneru at Somanpally,Peddapalli,dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dry,,,,,,,,
4258,River Manjeera,"Singoor Dam Reservoir,",Sangareddy,,7.5,8.11,650,3.3,24,0.1,3.7,21,Less than 1.8,7.3,0.76,,3,18,170,57,34,6,0.4,BDL,190,42,105,21,85,21,29,370.5,259.35,7,,0.05,0.5,4.3,0.2,24.33,0.91,,,,,,,,,
1157,River Manjeera,River Manjeera at Raipally,Sangareddy,,7.4,7.56,692,2.6,25,0.06,4,31,3.7,7.2,0.73,,3.2,14,220,95,24,6,0.4,BDL,299.92,64,160,34,139.92,51,36,449.8,314.86,6,,0.15,0.5,5.3,0.2,20.4,0.91,,,,,,,,,
1781,River Manjeera,Manjeera at Ganapathi sugars,Sangareddy,,6.5,8.21,793,4,30,0.07,8.1,41,4,6.5,0.6,,3.4,12,235,114,40,7,0.4,BDL,255,68,170,21,85,60,65,507.5,355.25,8,,0.14,0.5,4.5,0.2,35.13,1.77,,,,,,,,,
2374,River Manjeera,U/s of River Manjeera at Gowdicherla before confluence with Nakkavagu,Sangareddy,,5.6,8.01,1149,4.2,33,0.06,8.1,32,5.5,6.9,0.69,,3.5,16,260,143,46,5,0.4,BDL,377.11,85,212.5,40,164.61,65,69,666.4,466.48,8,,0.13,0.5,4,0.22,28.28,1.55,,,,,,,,,
2375,River Manjeera,D/s of River Manjeera at Gowdicherla after confluence with Nakkavagu,Sangareddy,,5.6,8.15,775,4.1,31,0.06,8.1,43,4,6.7,0.63,,3.3,14,170,159,46,6,0.4,BDL,295,68,170,30,125,40,60,503.8,352.66,7,,0.12,0.5,4,0.33,30.5,1.53,,,,,,,,,
2349,River Manjeera,Nakka vagu at Bachugudem,Sangareddy,,4,7.62,1816,5.8,37,0.07,8.3,79,5.6,4.5,0.43,,4.3,22,395,195,78,6,0.4,BDL,515,106,265,60,250,71,112,1017,711.9,8,,0.18,0.5,6,0.22,32.01,2.16,,,,,,,,,
4226,River Manjeera,River Manjeera at Yedu Payala Temple,Medak,,6.4,8.26,1023,2.7,35,0.06,6,58,2,6.7,0.62,,3.7,22,202,95,26,6,0.4,BDL,260,64,160,24,100,51,56,562.7,393.89,9,,0.21,0.5,5,0.21,31.56,1.52,,,,,,,,,
2372,River Kinneresani,Kinnerasani after confluence of KTPS ash pond effluents,Bhadradri Kothagudem ,,5.8,7.62,499,1.6,0.9,,Less than 1.8,22,Less than 1.8,,,,14,5,150,47,28,1.5,0.4,,215,48,120,23.09,95,32,,314,210,16,0.32,0.98,0.5,,0.53,,,0.02,0.03,0.1,0.06,0.1,0.05,1.66,0.0,0.03
3080,River Kinneresani,U/s of Karakavagu at Paloncha,Bhadradri Kothagudem ,,5.9,7.77,423,1.4,0.7,,Less than 1.8,21,Less than 1.8,,,,5,5,150,34,25,1.5,0.4,,180,38,95,20.66,85,24,,262,180,10,0.2,0.61,0.5,,0.47,,,0.02,0.03,0.1,0.09,0.1,0.24,0.48,0.0,0.02
3081,River Kinneresani,D/s of Karakavagu at Paloncha,Bhadradri Kothagudem ,,5.6,8.02,458,1.6,0.6,,Less than 1.8,26,Less than 1.8,,,,6,5,168,34,28,1.5,0.4,,170,38,95,18.22,75,20,,284,190,12,0.2,0.61,0.5,,0.49,,,0.02,0.03,0.1,0.06,0.1,0.09,2.37,0.0,0.07
1784,River Krishna ,River Krishna at thangadi,Mahaboobnagar,,6.1,7.58,1634,1.2,3,,11,140,Less than 1.8,,,,30,5,260,238,12,5.6,1.12,,330,72,180,36.45,150,154,,996,670,26,0.8,2.46,0.5,,0.98,,,0.02,0.03,0.17,0.06,0.1,0.81,0.89,0.0,0.68
39,River Krishna ,River Krishna at Gadwal bridge,Mahaboobnagar,,6.1,7.86,1177,1.4,4.7,,9.3,110,Less than 1.8,,,,24,5,220,158,20,3.36,0.56,,300,98,245,13.37,55,104,,730,480,19,0.46,1.41,0.5,,0.84,,,0.02,0.03,0.26,0.06,0.1,0.09,0.94,0.0,0.07
4225,River Krishna ,"Jogulamba Temple, Gadwal",Jogulamba Gadwal,,5.8,7.65,1838,1.2,3,,14,170,Less than 1.8,,,,34,5,280,318,16,6.16,1.68,,345,100,250,23.09,95,206,,1132,720,28,0.61,1.87,0.5,,0.5,,,0.02,0.03,0.22,0.07,0.1,0.07,1.63,0.0,0.02
4259,River Krishna ,Nagarjuna Sagar Dam Spill way,Nalgonda,,6.9,7.78,683,3.3,25,0.06,4,27,3.6,7,0.72,,3.5,18,158,102,30,7,0.4,BDL,195,46,115,19,80,25,52,396.1,277.27,8,,0.23,0.5,3,0.2,36.56,1.63,,,,,,,,,
4252,River Krishna ,"Udaya Samudram balancing Reservoir,",Nalgonda,,7.1,7.53,714,3.5,26,0.07,8.1,40,4.1,6.7,0.71,,3.9,18,115,130,32,6,0.4,BDL,265,54,135,31,130,49,43,414.1,289.87,7,,0.05,0.5,2.7,0.2,26.09,1.16,,,,,,,,,
1465,River Krishna ,Confluence of River Krishna & River Musi at at Wadapally,Nalgonda,,7.2,7.34,1146,3.3,29,0.06,9.3,32,5.5,6.8,0.7,,3.2,18,215,150,26,6,0.4,BDL,260,62,155,26,105,66,93,664.7,465.29,8,,0.24,0.5,2,0.4,43.43,2.5,,,,,,,,,
4663,River Krishna ,"River Krishna at Mattepally, 500 mts. before bathing ghat",Suryapet,,6.2,7.26,1135,4.4,41,0.06,6.1,40,3.6,6.7,0.69,,3.3,22,174,159,51,6,0.4,BDL,309.92,68,170,34,139.92,72,82,658.3,460.81,7,,0.26,0.5,3.6,0.6,36.28,2.03,,,,,,,,,
4250,River Krishna ,"Palair Reservoir, Khammam",Khammam,,5.9,8.4,472,1.8,0.5,,Less than 1.8,40,Less than 1.8,,,,6,5,160,38,31,1.5,0.4,,200,44,110,21.87,90,26,,298,200,10,0.62,1.9,0.5,,0.53,,,0.02,0.03,0.1,0.06,0.1,0.03,0.2,0.0,0.1
4251,River Krishna ,"D/S of Munneru River, Prakash Nagar, Khammam",Khammam,,5.8,8.6,584,1.9,0.9,,Less than 1.8,49,Less than 1.8,,,,8,5,175,53,25,1.68,0.4,,235,60,150,20.66,85,35,,360,260,12,0.56,1.72,0.5,,0.68,,,0.02,0.03,0.1,0.06,0.1,0.04,0.2,0.0,0.02
5108,River Krishna ,River Krishna Before Confluence of River Musi at Wadapally (V),Nalgonda,,6.8,8.07,1295,4.7,33,0.06,6,39,4,5.9,0.63,,3.4,22,265,165,50,6,0.4,BDL,345,70,175,41,170,86,115,712.3,498.61,8,,0.24,0.5,3.9,0.2,41.87,2.7,,,,,,,,,
5109,River Krishna ,River Krishna After Confluence of River Musi at Wadapally (V),Nalgonda,,6.4,7.43,1138,4.1,39,0.05,5.8,41,4,6.1,0.62,,3.4,22,185,185,46,6,0.4,BDL,350,78,195,38,155,64,94,660,462.0,8,,0.22,0.5,3,0.2,36.63,2.19,,,,,,,,,
5110,River Krishna ,River Krishna at Pulichintala Reservoir at Chinthalapalem,Suryapet,,6.5,7.17,1148,3.6,36,0.07,4.5,39,3.6,6,0.63,,3.3,18,195,198,36,7,0.4,BDL,345.49,74,185,39,160.49,54,85,665.8,466.06,9,,0.24,0.5,3.4,0.23,34.67,1.99,,,,,,,,,
4253,River Musi,Musi sample at Bapughat sangam U/S of Musi,Hyderabad,,0.3,7.56,1354,12,2.9,,46,430,9.3,,,,28,5,240,182,210,16.8,3.92,,325,72,180,35.23,145,116,,854,580,22,2.96,9.09,0.56,,0.82,,,0.02,0.03,0.1,0.14,0.1,0.21,2.2,0.0,0.1
4656,River Musi,"River Musi at Moosarambagh bridge, Hyderabad",Medchal Malkajgiri,,0.3,7.44,1191,8,2.6,,47,540,9.2,,,,32,5,260,140,108,19.6,5.04,,320,66,165,37.66,155,72,,752,490,28,3.42,10.5,0.6,,1.18,,,0.02,0.03,0.12,0.06,0.1,0.17,0.21,0.0,0.02
2339,River Musi,River Musi at Nagole,Shamshabad,,0.3,7.92,1182,10,4.2,,49,540,6.8,,,,36,5,180,187,143,17.36,6.16,,325,68,170,37.66,155,122,,732,500,32,3.72,11.42,0.6,,1.22,,,0.02,0.03,0.03,0.1,0.1,0.04,1.43,0.0,0.08
4659,River Musi,"Outlet of Nalla Cheruvu, Peerajadiguda",Yadadri Bhuvanagiri, lake Under Renovation.Inlet diverted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, lake Under Renovation.Inlet diverted.,,,,,,,,
4660,River Musi,River Musi at Peerajadiguda,Suryapet,,0.3,7.96,1190,10,3.5,,21,350,6.8,,,,40,5,165,179,115,14.56,3.92,,290,72,180,26.73,110,112,,740,490,36,3.92,12.03,0.58,,1.3,,,0.02,0.03,0.17,0.12,0.1,0.06,1.58,0.0,0.5
1173,River Musi,D/s. of Musi at Pratapasingaram,Rangareddy,,0.3,7.54,1188,8,9.4,,21,540,9.3,,,,30,5,210,187,112,15.68,4.48,,250,58,145,25.52,105,120,,728,490,24,3.9,11.97,0.54,,1.2,,,0.02,0.03,0.4,0.1,0.1,0.1,5.2,0.0,0.05
4657,River Musi,River Musi at Pillaipalli,Rangareddy-I,,0.3,8.11,1214,10,6.4,,17,350,9.2,,,,22,5,180,177,139,12.88,3.36,,310,86,215,23.09,95,116,,752,500,18,3.81,11.7,0.5,,1.9,,,0.02,0.03,0.62,0.1,0.1,0.07,0.72,0.0,0.08
4254,River Musi,River Musi sample at Rudravelly bridge,Yadadri Bhuvanagiri,,5.8,7.02,1612,4.5,51,0.04,8.3,79,6,6.1,0.68,,3.7,22,365,224,56,7,0.4,BDL,480,92,230,60,250,45,124,935,654.5,8,,0.5,0.5,21,0.2,34.96,2.47,,,,,,,,,
4658,River Musi,"River Musi at Valigonda bridge, Nalgonda dist",Yadadri Bhuvanagiri,,5.8,6.99,1603,4.5,52,0.12,9.3,84,5.6,5.6,0.63,,5.5,14,308,278,46,6,0.4,BDL,485,98,245,58,240,73,149,929.7,650.79,8,,0.8,0.5,10,0.41,39.59,2.95,,,,,,,,,
3082,River Musi,River Musi at Solipet (Kasaniguda),Suryapet,,6.8,7.91,1503,3.3,49,0.1,8.2,58,5.5,6.3,0.72,,5.6,18,260,246,30,6,0.4,BDL,445,90,225,53,220,51,115,871.7,610.19,9,,0.4,0.5,9,0.42,35.58,2.38,,,,,,,,,
5106,River Musi,River Musi at Bheemaram Bridge,Nalgonda,,6.2,7.93,1963,3.5,65,0.08,5.6,39,3.5,6.8,0.7,,3.4,22,265,285,36,6,0.4,BDL,415,90,225,46,190,98,170,1138.5,796.95,9,,0.26,0.5,7,0.34,46.73,3.64,,,,,,,,,
5107,River Musi,River Musi Before Confluence of River Krishna at Wadapally,Nalgonda,,6.5,7.29,1139,3.6,45,0.09,6.1,38,5.6,6.5,0.69,,3.6,18,212,220,38,6,0.4,BDL,320,76,190,31,130,62,102,683.4,478.38,7,,0.24,0.5,2.4,0.22,40.99,2.49,,,,,,,,,
1172,Lakes  & Tanks,U/s of Musi at Gandipet (Osmansagar lake),Shamshabad,,6,8.25,502,1,8.5,,Less than 1.8,46,Less than 1.8,,,,6,15,120,61,8,1.5,0.4,,170,38,95,18.22,75,40,,316,210,10,2.12,6.51,0.5,,0.52,,,0.02,0.03,0.1,0.06,0.1,0.02,0.39,0.0,0.13
2358,Lakes  & Tanks,Mallapur tank,Medchal Malkajgiri,,0.3,7.62,3859,10,7.6,,70,920,11,,,,45,5,240,848,187,20.16,5.6,,995,274,685,75.33,310,294,,2354,1600,38,3.68,11.3,0.64,,1.2,,,0.02,0.03,0.1,0.06,0.1,0.06,5.24,0.0,0.1
1789,Lakes  & Tanks,Himayathsagar lake,RR-shamshabad,,6.1,7.86,562,1,7.9,,Less than 1.8,33,Less than 1.8,,,,8,5,120,85,8,1.5,0.4,,165,38,95,17.01,70,52,,346,230,10,0.42,1.29,0.5,,0.68,,,0.02,0.03,0.1,0.06,0.1,0.04,3.58,0.0,0.06
3069,Lakes  & Tanks,"Shameerpet lake, Shameerpet",Medchal Malkajgiri,,5.5,8.5,816,1.8,5.3,,2,94,Less than 1.8,,,,8,10,96,140,36,2.8,0.4,,180,40,100,19.44,80,98,,498,340,10,0.96,2.95,0.5,,0.67,,,0.02,0.03,0.1,0.06,0.1,0.04,2.42,0.0,0.12
3078,Lakes  & Tanks,"Pragathinagar cheruvu, Kukatpally",Medchal Malkajgiri,,0.3,7.96,1248,12,4.7,,34,350,4.5,,,,12,5,280,144,191,16.8,4.48,,370,80,200,41.31,170,84,,786,510,12,3.22,9.89,0.5,,1.2,,,0.02,0.03,0.1,0.06,0.1,0.08,0.23,0.0,0.04
2340,Lakes  & Tanks,Lakshminarayana cheruvu,Medchal Malkajgiri,,0.3,7.63,1790,8,4.8,,49,540,6.8,,,,24,5,435,202,155,18.48,5.6,,550,126,315,57.1,235,98,,1094,740,18,3.41,10.47,0.5,,1.18,,,0.02,0.03,0.1,0.06,0.1,0.13,2.97,0.0,0.13
4229,Lakes  & Tanks,Neknampur Lake,RR-shamshabad,,0.3,7.92,1377,8,10.3,,46,540,9.3,,,,26,5,320,150,84,18.48,6.16,,365,76,190,42.52,175,132,,882,580,22,3.16,9.7,0.5,,0.69,,,0.02,0.03,0.18,0.07,0.1,0.07,2.24,0.0,0.39
1780,Lakes  & Tanks,Gandigudem Tank,Sangareddy,,5.6,7.88,2034,5.3,86,0.2,6,79,3.7,5.6,0.55,,10.5,34,400,400,54,8,0.4,BDL,805,166,415,94,390,122,144,1322.1,925.47,21,,0.6,0.5,20,0.33,27.54,2.22,,,,,,,,,
2347,Lakes  & Tanks,Asani Kunta,Sangareddy,,NIL,7.29,12841,78,159,0.53,10,170,7.8,NIL,NIL,,87,58,2000,2017,1048,72,15,BDL,3985,800,2000,482,1985,428,500,7062.55,4943.78,62,,0.53,0.5,105,0.25,20.96,3.45,,,,,,,,,
1783,Lakes  & Tanks,Kistareddypet Tank,Sangareddy,,6.1,7.74,1326,4.8,37,0.11,8.3,32,5.7,6.5,0.67,,9.8,18,255,271,48,6,0.4,BDL,390.49,92,230,39,160.49,82,136,848.64,594.05,21,,0.4,0.5,8,0.2,42.57,3.0,,,,,,,,,
2348,Lakes  & Tanks,Khazipally Tank,Sangareddy,,6.8,7.9,867,3.6,33,0.12,3.6,21,3.6,5.6,,,3.6,16,200,134,38,6,0.4,BDL,315,86,215,24,100,35,51,502.86,352.0,8,,0.3,0.5,7,0.2,25.66,1.25,,,,,,,,,
1215,Lakes  & Tanks,Madannapet Lake,Warangal Rural,,5.6,8.31,634,1,1.1,,Less than 1.8,24,Less than 1.8,,,,6,10,175,78,12,1.5,0.4,,165,38,95,17.01,70,52,,406,260,12,0.21,0.64,0.5,,0.38,,,0.02,0.03,0.1,0.06,0.1,0.11,0.35,0.0,0.02
3068,Lakes  & Tanks,Ramappa lake,Mulugu,,5.8,7.74,410,1.8,3.6,,Less than 1.8,24,Less than 1.8,,,,4,5,160,24,20,1.5,0.5,,180,56,140,9.72,40,15,,252,170,10,0.32,0.98,0.5,,0.56,,,0.02,0.03,0.22,0.06,0.1,0.05,0.08,0.0,0.14
1447,Lakes  & Tanks,Dharmasagar tank,Warangal,,5.6,8.56,368,1,0.3,,Less than 1.8,14,Less than 1.8,,,,6,20,155,34,6,1.5,0.4,,175,40,100,18.22,75,21,,224,140,10,0.2,0.61,0.5,,0.2,,,0.02,0.03,0.1,0.06,0.1,0.12,0.59,0.0,0.02
2346,Lakes  & Tanks,Bhadrakali cheruv,Warangal Urban,emptied for cleaning purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,emptied for cleaning purpose,,,,,,,,
3084,Lakes  & Tanks,"Waddepally tank, Kazipet",Warangal Urban,,5,7.27,553,2,1.9,,Less than 1.8,32,Less than 1.8,,,,5,5,165,60,36,1.5,0.4,,210,60,150,14.58,60,40,,348,220,16,0.76,2.33,0.5,,0.78,,,0.02,0.03,0.1,0.06,0.1,0.11,1.03,0.0,0.06
3085,Lakes  & Tanks,Chinnawaddepally tank,Warangal Urban,,0.3,8.18,1289,8,2.1,,33,540,9.2,,,,18,5,240,206,68,11.2,2.8,,325,84,210,27.95,115,136,,824,540,22,3.1,9.52,0.5,,0.75,,,0.02,0.03,0.1,0.06,0.1,0.12,2.85,0.0,0.1
2345,Lakes  & Tanks,Sai Cheruvu,Warangal Urban,,0.3,7.13,6016,18,0.6,,46,430,9.3,,,,14,5,520,1080,183,14,6.72,,860,196,490,89.91,370,860,,3660,2480,18,2.72,8.35,0.5,,0.95,,,0.02,0.03,0.1,0.67,0.1,0.14,1.08,0.0,0.02
4247,Lakes  & Tanks,"Mucharla Nagaram cheruvu, Warangal",Warangal Urban,,3,7.43,848,1,1.5,,11,210,Less than 1.8,,,,16,5,250,86,46,9.52,3.36,,250,72,180,17.01,70,56,,536,340,19,1.66,5.1,0.5,,0.78,,,0.02,0.03,0.1,0.06,0.1,0.11,2.15,0.0,0.1
4248,Lakes  & Tanks,"Koti Cheruvu, Hanamkonda, Warangal",Warangal Urban,,0.3,7.3,970,6,4.6,,2,49,Less than 1.8,,,,13,5,240,120,64,3.36,1.12,,260,78,195,15.79,65,92,,612,400,20,1.28,3.93,0.5,,0.58,,,0.02,0.03,0.1,0.06,0.1,0.22,0.06,0.0,0.41
4249,Lakes  & Tanks,"Rangasamudram, Warangal",Warangal Urban,Not collected due to water hyacinth all over the lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not collected due to water hyacinth all over the lake,,,,,,,,
4680,Lakes  & Tanks,Laknavaram lake,Mulugu,,5.6,7.4,153,1,1.8,,Less than 1.8,14,Less than 1.8,,,,2,5,35,24,8,1.5,0.4,,50,12,30,4.86,20,8,,96,60,10,0.36,1.11,0.5,,0.27,,,0.02,0.03,0.26,0.06,0.1,0.04,2.46,0.0,0.02
4681,Lakes  & Tanks,Pakala lake Narsampet,Warangal Rural,,5,8.12,272,1.2,0.5,,Less than 1.8,17,Less than 1.8,,,,15,5,85,32,20,1.5,0.4,,95,20,50,10.94,45,20,,172,120,16,0.28,0.86,0.5,,0.28,,,0.02,0.03,0.1,0.06,0.1,0.17,0.15,0.0,0.01
4682,Lakes  & Tanks,Bandham Cheruvu,Warangal,,3.3,7.35,1558,3,1.5,,17,280,2,,,,3,5,240,252,44,16.8,4.48,,320,72,180,34.02,140,152,,988,680,26,2.14,6.57,0.5,,0.75,,,0.02,0.03,0.1,0.06,0.1,0.13,0.4,0.0,0.13
4683,Lakes  & Tanks,"Pedda cheruvu, Madikonda",Warangal,,1.6,8.16,1290,4,1.7,,14,350,2,,,,20,5,260,240,68,12.88,5.6,,320,68,170,36.45,150,68,,812,520,23,1.6,4.91,0.5,,0.69,,,0.02,0.03,0.1,0.06,0.1,0.11,2.29,0.0,0.25
4243,Lakes  & Tanks,"Isnapur Tank,",Sangareddy,,2.8,7.07,3780,15,90,0.42,8.2,79,4,4.5,0.47,,6.2,30,624,703,204,22,10,BDL,1050,270,675,91,375,119,295,2192.4,1534.68,45,,0.52,0.5,8,0.31,37.81,3.97,,,,,,,,,
4302,Lakes  & Tanks,Rudraram Tank,Sangareddy,,6.1,6.8,2283,5.6,43,0.17,6.1,27,3.7,5.6,0.56,,8.7,24,265,551,82,7,0.4,BDL,535,100,250,69,285,39,235,1324.14,926.9,7,,0.6,0.5,7,0.2,48.59,4.43,,,,,,,,,
